# Polish name -> USDA FoodData Central fdcId mapping.
#
# Hand-curated, script-assisted. This file decides BOTH which USDA entries end up in the
# bundled nutrition subset AND what they are called in the Polish UI. `scripts/build-nutrition.mjs`
# joins it against the FDC Foundation + SR Legacy downloads and writes src/lib/nutrition/ingredients.json.
#
# Tab-separated, four columns; `#` starts a comment, blank lines are ignored.
#
#   fdcId  name (Polish)  aliases (| separated, may be empty)  state (raw|cooked, default raw)
#
# `state` follows the USDA entry, not the shopping basket: "cooked" means the per-100 g values
# describe the food after cooking. 300 g of raw rice is not 300 g of cooked rice, so both exist
# as separate rows wherever the difference matters.
#
# Keep rows sorted inside their section and never reuse an fdcId: it is the ingredient's identity
# (`usda:<fdcId>`) and planned meals reference it forever.

## Nabial i jaja / Dairy and eggs

169283	Soja zielona gotowana	soja zielona gotowana	cooked
168396	Fasola limeńska	fasola limenska	raw
169135	Fasola limeńska gotowana	fasola limenska gotowana	cooked

## Owoce / Fruits

171688	Jabłko	jablko|jablka	raw
171689	Jabłko obrane	jablko obrane	raw
168203	Jabłko granny smith	jablko granny smith	raw
168204	Jabłko gala	jablko gala	raw
167793	Jabłko fuji	jablko fuji	raw
168202	Jabłko golden delicious	jablko golden	raw
168201	Jabłko red delicious	jablko czerwone	raw
173928	Jabłko gotowane	jablko gotowane	cooked
171691	Jabłka suszone	jablka suszone	raw
171695	Mus jabłkowy niesłodzony	mus jablkowy|przecier jablkowy	cooked
171696	Mus jabłkowy słodzony	mus jablkowy slodzony	cooked
173933	Sok jabłkowy	sok jablkowy	raw
171697	Morele	morela|morele	raw
173941	Morele suszone	morele suszone	raw
173937	Morele z puszki	morele z puszki	cooked
171705	Awokado	awokado	raw
171706	Awokado kalifornijskie	awokado kalifornijskie|hass	raw
173944	Banan	banan|banany	raw
173945	Banan w proszku	banan suszony|banan w proszku	raw
173946	Jeżyny	jezyny|jezyna	raw
171710	Jeżyny mrożone	jezyny mrozone	raw
171711	Borówki amerykańskie	borowki|jagody amerykanskie|jagoda	raw
173950	Borówki mrożone	borowki mrozone	raw
168158	Borówki suszone	borowki suszone	raw
171714	Chlebowiec	chlebowiec|owoc chlebowca	raw
171715	Karambola	karambola|owoc gwiazdy	raw
173954	Wiśnie	wisnie|wisnia	raw
171719	Czereśnie	czeresnie|czeresnia	raw
171718	Wiśnie mrożone	wisnie mrozone	raw
171708	Wiśnie suszone	wisnie suszone	raw
168195	Klementynki	klementynka|klementynki	raw
171722	Żurawina	zurawina	raw
171723	Żurawina suszona	zurawina suszona	raw
173961	Sos żurawinowy	sos zurawinowy	cooked
168117	Sok żurawinowy	sok zurawinowy	raw
173963	Porzeczki czarne	porzeczki czarne|czarna porzeczka	raw
173964	Porzeczki czerwone	porzeczki czerwone|czerwona porzeczka	raw
